PassengerId,Age,SibSp,Parch,TicketCrew,FarePerPerson,FamilyCrew,Cabin_num,Sex_bin,Embarked_cat,Title_cat,Deck_cat,Pclass_cat,Survived
1,22.0,1,0,1,7.25,2,0,1,2,12,7,2,0
2,38.0,1,0,2,35.642,2,85,0,0,13,2,0,1
3,26.0,0,0,1,7.925,1,0,0,2,9,7,2,1
4,35.0,1,0,2,26.55,2,123,0,2,13,2,0,1
5,35.0,0,0,1,8.05,1,0,1,2,12,7,2,0
6,33.2,0,0,1,8.458,1,0,1,1,12,7,2,0
7,54.0,0,0,2,25.931,1,46,1,2,12,4,0,0
8,2.0,3,1,5,4.215,5,0,1,2,8,7,2,0
9,27.0,0,2,3,3.711,3,0,0,2,13,7,2,1
10,14.0,1,0,2,15.035,2,0,0,0,13,7,1,1
11,4.0,1,1,3,5.567,3,6,0,2,9,6,2,1
12,58.0,0,0,1,26.55,1,103,0,2,9,2,0,1
13,20.0,0,0,1,8.05,1,0,1,2,12,7,2,0
14,39.0,1,5,7,4.468,7,0,1,2,12,7,2,0
15,14.0,0,0,1,7.854,1,0,0,2,9,7,2,0
16,55.0,0,0,1,16.0,1,0,0,2,13,7,1,1
17,2.0,4,1,6,4.854,6,0,1,1,8,7,2,0
18,33.2,0,0,1,13.0,1,0,1,2,12,7,1,1
19,31.0,1,0,2,9.0,2,0,0,2,13,7,2,0
20,35.2,0,0,1,7.225,1,0,0,0,13,7,2,1
21,35.0,0,0,2,13.0,1,0,1,2,12,7,1,0
22,34.0,0,0,1,13.0,1,56,1,2,12,3,1,1
23,15.0,0,0,1,8.029,1,0,0,1,9,7,2,1
24,28.0,0,0,1,35.5,1,6,1,2,12,0,0,1
25,8.0,3,1,5,4.215,5,0,0,2,9,7,2,0
26,38.0,1,5,7,4.484,7,0,0,2,13,7,2,1
27,33.2,0,0,1,7.225,1,0,1,0,12,7,2,0
28,19.0,3,2,6,43.833,6,23,1,2,12,2,0,0
29,27.0,0,0,1,7.879,1,0,0,1,9,7,2,1
30,33.2,0,0,1,7.896,1,0,1,2,12,7,2,0
31,40.0,0,0,1,27.721,1,0,1,0,2,7,0,0
32,32.6,1,0,3,48.84,2,78,0,0,13,1,0,1
33,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
34,66.0,0,0,1,10.5,1,0,1,2,12,7,1,0
35,28.0,1,0,2,41.085,2,0,1,0,12,7,0,0
36,42.0,1,0,2,26.0,2,0,1,2,12,7,0,0
37,33.2,0,0,1,7.229,1,0,1,0,12,7,2,1
38,21.0,0,0,1,8.05,1,0,1,2,12,7,2,0
39,18.0,2,0,2,9.0,3,0,0,2,9,7,2,0
40,14.0,1,0,2,5.621,2,0,0,0,9,7,2,1
41,40.0,1,0,1,9.475,2,0,0,2,13,7,2,0
42,27.0,1,0,2,10.5,2,0,0,2,13,7,1,0
43,33.2,0,0,1,7.896,1,0,1,0,12,7,2,0
44,3.0,1,2,4,10.395,4,0,0,0,9,7,1,1
45,19.0,0,0,1,7.879,1,0,0,1,9,7,2,1
46,33.2,0,0,1,8.05,1,0,1,2,12,7,2,0
47,30.6,1,0,2,7.75,2,0,1,1,12,7,2,0
48,27.0,0,0,1,7.75,1,0,0,1,9,7,2,1
49,28.0,2,0,3,7.226,3,0,1,0,12,7,2,0
50,18.0,1,0,2,8.9,2,0,0,2,13,7,2,0
51,7.0,4,1,7,5.67,6,0,1,2,8,7,2,0
52,21.0,0,0,1,7.8,1,0,1,2,12,7,2,0
